Geschlecht,Trunkenheitszustand,Anzahl_Betrunken,Anzahl_angetrunken
M,Betrunken,1,1
M,Angetrunken,1,1
M,Betrunken,1,1
M,Angetrunken,1,1
M,Angetrunken,1,1
M,Angetrunken,1,1
M,Betrunken,1,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Betrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Betrunken,0,1
M,Betrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
M,Angetrunken,0,1
