Nr.;Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Alter;Bevölkerung am Ort der Hauptwohnung
3;2017;0000;Stadt;Mannheim;2;2823
4;2017;0000;Stadt;Mannheim;3;2844
5;2017;0000;Stadt;Mannheim;4;2650
16;2017;0000;Stadt;Mannheim;15;2553
22;2017;0000;Stadt;Mannheim;21;4729
23;2017;0000;Stadt;Mannheim;22;4824
26;2017;0000;Stadt;Mannheim;25;5204
35;2017;0000;Stadt;Mannheim;34;4791
37;2017;0000;Stadt;Mannheim;36;4856
39;2017;0000;Stadt;Mannheim;38;4386
40;2017;0000;Stadt;Mannheim;39;4173
42;2017;0000;Stadt;Mannheim;41;4068
52;2017;0000;Stadt;Mannheim;51;4920
56;2017;0000;Stadt;Mannheim;55;4603
58;2017;0000;Stadt;Mannheim;57;4311
59;2017;0000;Stadt;Mannheim;58;4012
65;2017;0000;Stadt;Mannheim;64;3202
66;2017;0000;Stadt;Mannheim;65;3178
75;2017;0000;Stadt;Mannheim;74;2515
78;2017;0000;Stadt;Mannheim;77;2928
81;2017;0000;Stadt;Mannheim;80;2279
82;2017;0000;Stadt;Mannheim;81;2225
85;2017;0000;Stadt;Mannheim;84;1337
86;2017;0000;Stadt;Mannheim;85-89;5290
87;2017;0000;Stadt;Mannheim;90+;2863
89;2017;0010;Stadtteil;Innenstadt/Jungbusch;1;224
91;2017;0010;Stadtteil;Innenstadt/Jungbusch;3;199
93;2017;0010;Stadtteil;Innenstadt/Jungbusch;5;184
95;2017;0010;Stadtteil;Innenstadt/Jungbusch;7;158
96;2017;0010;Stadtteil;Innenstadt/Jungbusch;8;190
99;2017;0010;Stadtteil;Innenstadt/Jungbusch;11;161
100;2017;0010;Stadtteil;Innenstadt/Jungbusch;12;165
103;2017;0010;Stadtteil;Innenstadt/Jungbusch;15;171
104;2017;0010;Stadtteil;Innenstadt/Jungbusch;16;162
107;2017;0010;Stadtteil;Innenstadt/Jungbusch;19;576
115;2017;0010;Stadtteil;Innenstadt/Jungbusch;27;847
119;2017;0010;Stadtteil;Innenstadt/Jungbusch;31;669
124;2017;0010;Stadtteil;Innenstadt/Jungbusch;36;519
130;2017;0010;Stadtteil;Innenstadt/Jungbusch;42;400
132;2017;0010;Stadtteil;Innenstadt/Jungbusch;44;401
135;2017;0010;Stadtteil;Innenstadt/Jungbusch;47;369
137;2017;0010;Stadtteil;Innenstadt/Jungbusch;49;376
138;2017;0010;Stadtteil;Innenstadt/Jungbusch;50;377
140;2017;0010;Stadtteil;Innenstadt/Jungbusch;52;379
141;2017;0010;Stadtteil;Innenstadt/Jungbusch;53;347
142;2017;0010;Stadtteil;Innenstadt/Jungbusch;54;366
145;2017;0010;Stadtteil;Innenstadt/Jungbusch;57;344
146;2017;0010;Stadtteil;Innenstadt/Jungbusch;58;287
151;2017;0010;Stadtteil;Innenstadt/Jungbusch;63;243
154;2017;0010;Stadtteil;Innenstadt/Jungbusch;66;191
159;2017;0010;Stadtteil;Innenstadt/Jungbusch;71;167
170;2017;0010;Stadtteil;Innenstadt/Jungbusch;82;116
174;2017;0010;Stadtteil;Innenstadt/Jungbusch;90+;135
179;2017;0020;Stadtteil;Neckarstadt-West;4;188
180;2017;0020;Stadtteil;Neckarstadt-West;5;163
181;2017;0020;Stadtteil;Neckarstadt-West;6;178
182;2017;0020;Stadtteil;Neckarstadt-West;7;186
184;2017;0020;Stadtteil;Neckarstadt-West;9;207
185;2017;0020;Stadtteil;Neckarstadt-West;10;176
188;2017;0020;Stadtteil;Neckarstadt-West;13;188
189;2017;0020;Stadtteil;Neckarstadt-West;14;164
193;2017;0020;Stadtteil;Neckarstadt-West;18;221
195;2017;0020;Stadtteil;Neckarstadt-West;20;378
198;2017;0020;Stadtteil;Neckarstadt-West;23;438
202;2017;0020;Stadtteil;Neckarstadt-West;27;478
216;2017;0020;Stadtteil;Neckarstadt-West;41;310
217;2017;0020;Stadtteil;Neckarstadt-West;42;316
218;2017;0020;Stadtteil;Neckarstadt-West;43;317
221;2017;0020;Stadtteil;Neckarstadt-West;46;296
222;2017;0020;Stadtteil;Neckarstadt-West;47;298
229;2017;0020;Stadtteil;Neckarstadt-West;54;266
230;2017;0020;Stadtteil;Neckarstadt-West;55;273
231;2017;0020;Stadtteil;Neckarstadt-West;56;220
232;2017;0020;Stadtteil;Neckarstadt-West;57;229
244;2017;0020;Stadtteil;Neckarstadt-West;69;140
250;2017;0020;Stadtteil;Neckarstadt-West;75;110
255;2017;0020;Stadtteil;Neckarstadt-West;80;75
257;2017;0020;Stadtteil;Neckarstadt-West;82;67
258;2017;0020;Stadtteil;Neckarstadt-West;83;51
260;2017;0020;Stadtteil;Neckarstadt-West;85-89;146
261;2017;0020;Stadtteil;Neckarstadt-West;90+;53
263;2017;0030;Stadtteil;Neckarstadt-Ost;1;352
264;2017;0030;Stadtteil;Neckarstadt-Ost;2;306
267;2017;0030;Stadtteil;Neckarstadt-Ost;5;289
270;2017;0030;Stadtteil;Neckarstadt-Ost;8;244
271;2017;0030;Stadtteil;Neckarstadt-Ost;9;274
272;2017;0030;Stadtteil;Neckarstadt-Ost;10;246
275;2017;0030;Stadtteil;Neckarstadt-Ost;13;259
277;2017;0030;Stadtteil;Neckarstadt-Ost;15;243
279;2017;0030;Stadtteil;Neckarstadt-Ost;17;254
282;2017;0030;Stadtteil;Neckarstadt-Ost;20;504
297;2017;0030;Stadtteil;Neckarstadt-Ost;35;538
302;2017;0030;Stadtteil;Neckarstadt-Ost;40;408
304;2017;0030;Stadtteil;Neckarstadt-Ost;42;403
308;2017;0030;Stadtteil;Neckarstadt-Ost;46;461
309;2017;0030;Stadtteil;Neckarstadt-Ost;47;435
312;2017;0030;Stadtteil;Neckarstadt-Ost;50;448
313;2017;0030;Stadtteil;Neckarstadt-Ost;51;510
326;2017;0030;Stadtteil;Neckarstadt-Ost;64;324
335;2017;0030;Stadtteil;Neckarstadt-Ost;73;235
2001;2017;0162;Stadtteil;Niederfeld;90+;147
2002;2017;0163;Stadtteil;Almenhof;0;71
2003;2017;0163;Stadtteil;Almenhof;1;58
2006;2017;0163;Stadtteil;Almenhof;4;43
2007;2017;0163;Stadtteil;Almenhof;5;39
2010;2017;0163;Stadtteil;Almenhof;8;59
2013;2017;0163;Stadtteil;Almenhof;11;51
2015;2017;0163;Stadtteil;Almenhof;13;47
2016;2017;0163;Stadtteil;Almenhof;14;55
2026;2017;0163;Stadtteil;Almenhof;24;140
2027;2017;0163;Stadtteil;Almenhof;25;102
2029;2017;0163;Stadtteil;Almenhof;27;109
2031;2017;0163;Stadtteil;Almenhof;29;128
2045;2017;0163;Stadtteil;Almenhof;43;74
2051;2017;0163;Stadtteil;Almenhof;49;111
2052;2017;0163;Stadtteil;Almenhof;50;108
2054;2017;0163;Stadtteil;Almenhof;52;123
2056;2017;0163;Stadtteil;Almenhof;54;108
2060;2017;0163;Stadtteil;Almenhof;58;95
2063;2017;0163;Stadtteil;Almenhof;61;82
2065;2017;0163;Stadtteil;Almenhof;63;70
2071;2017;0163;Stadtteil;Almenhof;69;49
2076;2017;0163;Stadtteil;Almenhof;74;64
2078;2017;0163;Stadtteil;Almenhof;76;65
2086;2017;0163;Stadtteil;Almenhof;84;32
2090;2017;0170;Stadtteil;Rheinau;1;223
2091;2017;0170;Stadtteil;Rheinau;2;222
2094;2017;0170;Stadtteil;Rheinau;5;195
2101;2017;0170;Stadtteil;Rheinau;12;212
2103;2017;0170;Stadtteil;Rheinau;14;192
2111;2017;0170;Stadtteil;Rheinau;22;277
2112;2017;0170;Stadtteil;Rheinau;23;277
2113;2017;0170;Stadtteil;Rheinau;24;336
2117;2017;0170;Stadtteil;Rheinau;28;332
2118;2017;0170;Stadtteil;Rheinau;29;344
2121;2017;0170;Stadtteil;Rheinau;32;359
2127;2017;0170;Stadtteil;Rheinau;38;316
2131;2017;0170;Stadtteil;Rheinau;42;323
2132;2017;0170;Stadtteil;Rheinau;43;324
2134;2017;0170;Stadtteil;Rheinau;45;316
2135;2017;0170;Stadtteil;Rheinau;46;341
2136;2017;0170;Stadtteil;Rheinau;47;317
2138;2017;0170;Stadtteil;Rheinau;49;362
2139;2017;0170;Stadtteil;Rheinau;50;390
2140;2017;0170;Stadtteil;Rheinau;51;409
2142;2017;0170;Stadtteil;Rheinau;53;429
2143;2017;0170;Stadtteil;Rheinau;54;416
2158;2017;0170;Stadtteil;Rheinau;69;283
2166;2017;0170;Stadtteil;Rheinau;77;242
2167;2017;0170;Stadtteil;Rheinau;78;234
2168;2017;0170;Stadtteil;Rheinau;79;226
2171;2017;0170;Stadtteil;Rheinau;82;173
2172;2017;0170;Stadtteil;Rheinau;83;147
2180;2016;0000;Stadt;Mannheim;4;2550
2183;2016;0000;Stadt;Mannheim;7;2535
2184;2016;0000;Stadt;Mannheim;8;2557
2186;2016;0000;Stadt;Mannheim;10;2442
2191;2016;0000;Stadt;Mannheim;15;2533
2192;2016;0000;Stadt;Mannheim;16;2719
2195;2016;0000;Stadt;Mannheim;19;3839
2199;2016;0000;Stadt;Mannheim;23;4810
2202;2016;0000;Stadt;Mannheim;26;5512
2203;2016;0000;Stadt;Mannheim;27;5316
2205;2016;0000;Stadt;Mannheim;29;5370
2209;2016;0000;Stadt;Mannheim;33;4806
2210;2016;0000;Stadt;Mannheim;34;4870
2211;2016;0000;Stadt;Mannheim;35;4892
2214;2016;0000;Stadt;Mannheim;38;4198
2217;2016;0000;Stadt;Mannheim;41;3924
2221;2016;0000;Stadt;Mannheim;45;4408
2223;2016;0000;Stadt;Mannheim;47;4702
2225;2016;0000;Stadt;Mannheim;49;4867
2226;2016;0000;Stadt;Mannheim;50;4937
2227;2016;0000;Stadt;Mannheim;51;4926
2229;2016;0000;Stadt;Mannheim;53;4836
2230;2016;0000;Stadt;Mannheim;54;4635
2232;2016;0000;Stadt;Mannheim;56;4343
2235;2016;0000;Stadt;Mannheim;59;3889
2238;2016;0000;Stadt;Mannheim;62;3400
2239;2016;0000;Stadt;Mannheim;63;3267
2240;2016;0000;Stadt;Mannheim;64;3239
2242;2016;0000;Stadt;Mannheim;66;3144
2243;2016;0000;Stadt;Mannheim;67;3126
2246;2016;0000;Stadt;Mannheim;70;2678
2249;2016;0000;Stadt;Mannheim;73;2579
2251;2016;0000;Stadt;Mannheim;75;3015
2253;2016;0000;Stadt;Mannheim;77;2796
2256;2016;0000;Stadt;Mannheim;80;2344
2264;2016;0010;Stadtteil;Innenstadt/Jungbusch;1;238
2267;2016;0010;Stadtteil;Innenstadt/Jungbusch;4;196
2270;2016;0010;Stadtteil;Innenstadt/Jungbusch;7;192
2273;2016;0010;Stadtteil;Innenstadt/Jungbusch;10;163
2279;2016;0010;Stadtteil;Innenstadt/Jungbusch;16;205
2286;2016;0010;Stadtteil;Innenstadt/Jungbusch;23;866
2287;2016;0010;Stadtteil;Innenstadt/Jungbusch;24;881
2289;2016;0010;Stadtteil;Innenstadt/Jungbusch;26;903
2293;2016;0010;Stadtteil;Innenstadt/Jungbusch;30;706
2294;2016;0010;Stadtteil;Innenstadt/Jungbusch;31;617
2295;2016;0010;Stadtteil;Innenstadt/Jungbusch;32;588
2301;2016;0010;Stadtteil;Innenstadt/Jungbusch;38;423
506;2017;0042;Stadtteil;Schwetzingerstadt;70;62
508;2017;0042;Stadtteil;Schwetzingerstadt;72;51
513;2017;0042;Stadtteil;Schwetzingerstadt;77;61
517;2017;0042;Stadtteil;Schwetzingerstadt;81;52
518;2017;0042;Stadtteil;Schwetzingerstadt;82;40
519;2017;0042;Stadtteil;Schwetzingerstadt;83;36
525;2017;0050;Stadtteil;Lindenhof;2;143
532;2017;0050;Stadtteil;Lindenhof;9;78
542;2017;0050;Stadtteil;Lindenhof;19;92
543;2017;0050;Stadtteil;Lindenhof;20;103
546;2017;0050;Stadtteil;Lindenhof;23;178
549;2017;0050;Stadtteil;Lindenhof;26;243
550;2017;0050;Stadtteil;Lindenhof;27;310
551;2017;0050;Stadtteil;Lindenhof;28;328
558;2017;0050;Stadtteil;Lindenhof;35;267
563;2017;0050;Stadtteil;Lindenhof;40;176
564;2017;0050;Stadtteil;Lindenhof;41;175
565;2017;0050;Stadtteil;Lindenhof;42;163
568;2017;0050;Stadtteil;Lindenhof;45;157
569;2017;0050;Stadtteil;Lindenhof;46;174
574;2017;0050;Stadtteil;Lindenhof;51;214
576;2017;0050;Stadtteil;Lindenhof;53;181
579;2017;0050;Stadtteil;Lindenhof;56;167
584;2017;0050;Stadtteil;Lindenhof;61;137
585;2017;0050;Stadtteil;Lindenhof;62;104
587;2017;0050;Stadtteil;Lindenhof;64;127
589;2017;0050;Stadtteil;Lindenhof;66;104
596;2017;0050;Stadtteil;Lindenhof;73;104
601;2017;0050;Stadtteil;Lindenhof;78;141
607;2017;0050;Stadtteil;Lindenhof;84;74
608;2017;0050;Stadtteil;Lindenhof;85-89;321
612;2017;0060;Stadtteil;Sandhofen;2;124
613;2017;0060;Stadtteil;Sandhofen;3;119
618;2017;0060;Stadtteil;Sandhofen;8;125
625;2017;0060;Stadtteil;Sandhofen;15;105
626;2017;0060;Stadtteil;Sandhofen;16;114
627;2017;0060;Stadtteil;Sandhofen;17;129
628;2017;0060;Stadtteil;Sandhofen;18;131
629;2017;0060;Stadtteil;Sandhofen;19;135
632;2017;0060;Stadtteil;Sandhofen;22;142
633;2017;0060;Stadtteil;Sandhofen;23;137
