Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Wohnberechtigte insgesamt;Wohnberechtige männlich;Wohnberechtigte weiblich;Wohnberechtigte ohne Migrationshintergrund;Wohnberechtigte mit Migrationshintergrund;Wohnberechtigte Ausländer;Bevölkerung am Ort der Hauptwohnung insgesamt;Bevölkerung am Ort der Hauptwohnung männlich;Bevölkerung am Ort der Hauptwohnung weiblich;Bevölkerung am Ort der Hauptwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Ausländer;Bevölkerung am Ort der Nebenwohnung insgesamt;Bevölklerung am Ort der Nebenwohnung männlich;Bevölkerung am Ort der Nebenwohnung weiblich;Bevölkerung am Ort der Nebenwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Nebenwohnung Migrationshintergrund;Bevölkerung am Ort der Nebenwohnung Ausländer
2016;10;Stadtteil;Innenstadt/Jungbusch;33416;18026;15390;14319;19097;13233;29851;16009;13842;11436;18415;12949;3565;2017;1548;2883;682;284
2016;30;Stadtteil;Neckarstadt-Ost;34983;17438;17545;17718;17265;9272;32809;16207;16602;15921;16888;9150;2174;1231;943;1797;377;122
2016;110;Stadtteil;Friedrichsfeld;5671;2855;2816;3985;1686;952;5406;2703;2703;3743;1663;943;265;152;113;242;23;9
2016;130;Stadtteil;Vogelstang;13179;6338;6841;6822;6357;1980;12688;6058;6630;6424;6264;1960;491;280;211;398;93;20
2016;50;Stadtteil;Lindenhof;14386;6874;7512;9782;4604;2058;13294;6276;7018;8822;4472;2024;1092;598;494;960;132;34
2016;70;Stadtteil;Schönau;13307;6699;6608;7074;6233;3275;13036;6549;6487;6874;6162;3248;271;150;121;200;71;27
2013;20;Stadtteil;Neckarstadt-West;21691;11654;10037;8085;13606;9964;20603;11061;9542;7203;13400;9864;1088;593;495;882;206;100
2013;30;Stadtteil;Neckarstadt-Ost;34163;17083;17080;18231;15932;8691;31831;15735;16096;16336;15495;8514;2332;1348;984;1895;437;177
2014;150;Stadtteil;Feudenheim;15146;7213;7933;12235;2911;1204;14043;6588;7455;11230;2813;1174;1103;625;478;1005;98;30
2014;161;Stadtteil;Neckarau;16350;8226;8124;10428;5922;3480;15539;7743;7796;9744;5795;3422;811;483;328;684;127;58
2013;41;Stadtteil;Oststadt;13751;6817;6934;9717;4034;2160;12138;5902;6236;8344;3794;2056;1613;915;698;1373;240;104
2013;0;Stadt;Mannheim;328831;165388;163443;199393;129438;71065;307936;153481;154455;181704;126232;69778;20895;11907;8988;17689;3206;1287
