Nr.;Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Bevölkerung am Ort der Hauptwohnung insgesamt;Bevölkerung am Ort der Hauptwohnung weiblich;Bevölkerung am Ort der Hauptwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Ausländer
2;2017;10;Stadtteil;Innenstadt/Jungbusch;30566;14184;11942;18624;13188
4;2017;30;Stadtteil;Neckarstadt-Ost;33211;16820;16300;16911;9253
8;2017;60;Stadtteil;Sandhofen;13689;6924;9158;4531;2485
7;2017;50;Stadtteil;Lindenhof;13441;7090;9055;4386;2063
14;2017;92;Stadtteil;Neuhermsheim;4556;2343;2662;1894;684
20;2017;140;Stadtteil;Wallstadt;7956;4101;6151;1805;632
22;2017;161;Stadtteil;Neckarau;15832;7838;9505;6327;3777
24;2017;163;Stadtteil;Almenhof;6992;3497;4426;2566;1474
1;2017;0;Stadt;Mannheim;318910;158749;177451;141459;80664
3;2017;20;Stadtteil;Neckarstadt-West;21082;9688;6658;14424;10679
5;2017;41;Stadtteil;Oststadt;12410;6382;8237;4173;2175
10;2017;81;Stadtteil;Waldhof;11315;5652;5979;5336;3099
11;2017;82;Stadtteil;Gartenstadt;10429;5386;7830;2599;930
12;2017;83;Stadtteil;Luzenberg;3081;1476;878;2203;1449
13;2017;91;Stadtteil;Neuostheim;2830;1447;2072;758;378
18;2017;120;Stadtteil;Käfertal;26901;13092;14491;12410;6907
21;2017;150;Stadtteil;Feudenheim;14688;7582;10984;3704;1965
25;2017;170;Stadtteil;Rheinau;24934;12132;13001;11933;6095
6;2017;42;Stadtteil;Schwetzingerstadt;10521;5214;5657;4864;3057
9;2017;70;Stadtteil;Schönau;12923;6464;6866;6057;3250
15;2017;101;Stadtteil;Seckenheim;12765;6580;9195;3570;1669
16;2017;102;Stadtteil;Hochstätt;3202;1566;899;2303;1393
17;2017;110;Stadtteil;Friedrichsfeld;5422;2689;3747;1675;968
19;2017;130;Stadtteil;Vogelstang;12530;6583;6439;6091;2010
23;2017;162;Stadtteil;Niederfeld;7634;4019;5319;2315;1084
