PLZ;Gemeindeteilname;;;;;
68199;Almenhof;;;;;
68259;Feudenheim;;;;;
68229;Friedrichsfeld;;;;;
68305;Gartenstadt;;;;;
68239;Hochstätt;;;;;
68161;Innenstadt/Jungbusch;;;;;
68159;Innenstadt/Jungbusch;;;;;
68309;Käfertal;;;;;
68163;Lindenhof;;;;;
68305;Luzenberg;;;;;
68199;Neckarau;;;;;
68169;Neckarstadt-Ost;;;;;
68169;Neckarstadt-West;;;;;
68163;Neuhermsheim;;;;;
68163;Neuostheim;;;;;
68163;Niederfeld;;;;;
68199;Niederfeld;;;;;
68165;Oststadt;;;;;
68219;Rheinau;;;;;
68307;Sandhofen;;;;;
68307;Schönau;;;;;
68161;Schwetzingerstadt;;;;;
68239;Seckenheim;;;;;
68309;Vogelstang;;;;;
68305;Waldhof;;;;;
68259;Wallstadt;;;;;
